date,open,high,low,close,volume,adj_close,returns,log_returns,volatility
2023-05-04,29026.16,29379.83,28663.64,28838.16,42575.47501,28838.16,-0.006476915995777599,-0.006497982228264741,0.019238492768302327
2023-05-05,28838.16,29677.0,28800.0,29505.61,58415.83048,29505.61,0.023144680520532646,0.02288090465334252,0.021517646888579024
2023-05-06,29505.6,29820.0,28300.0,28848.2,49249.28459,28848.2,-0.02228084760830229,-0.02253281543081646,0.02329890768804085
2023-05-07,28848.19,29138.29,28395.23,28430.1,30003.41028,28430.1,-0.01449310528906489,-0.01459915625864984,0.023765218496742794
2023-05-08,28430.09,28631.01,27262.0,27668.79,68244.36179,27668.79,-0.02677830890499855,-0.027143379896367045,0.020779805085998814
2023-05-09,27668.8,27818.0,27353.0,27628.27,40113.31069,27628.27,-0.0014644659199046783,-0.0014655392981985705,0.018135824454586
2023-05-10,27628.28,28331.42,26777.0,27598.75,71155.11355,27598.75,-0.0010684708090662465,-0.0010690420309266652,0.016611281795196452
2023-05-11,27598.74,27630.14,26702.05,26968.62,47635.31365,26968.62,-0.02283183115177323,-0.0230965139643067,0.017634336136433067
2023-05-12,26968.61,27091.12,25811.46,26795.01,67207.93494,26795.01,-0.0064374817843849685,-0.00645829172740886,0.010728916939637052
2023-05-13,26795.01,27045.45,26692.03,26775.28,22814.90421,26775.28,-0.0007363311303112408,-0.0007366023552270455,0.010919527348786954
2023-05-14,26775.27,27200.0,26560.53,26917.62,21594.8036,26917.62,0.005316097534741049,0.005302016968638717,0.012215544942582344
2023-05-15,26917.61,27663.59,26726.0,27162.14,40430.08333,27162.14,0.009084012628159499,0.0090430011641092,0.010249729667995096
2023-05-16,27162.15,27296.89,26852.11,27033.84,33270.45451,27033.84,-0.0047234864410535815,-0.004734677357132959,0.010264026851241434
2023-05-17,27033.85,27500.0,26544.71,27405.61,42958.97785,27405.61,0.013752023389943968,0.013658322391184448,0.012105824791820485
2023-05-18,27405.62,27485.33,26361.2,26821.28,49198.65143,26821.28,-0.021321546938747327,-0.021552134669642054,0.011655713911612518
2023-05-19,26821.28,27183.6,26630.0,26880.26,28754.13544,26880.26,0.0021990001968585915,0.002196585934586688,0.011404497172404429
2023-05-20,26880.26,27150.0,26825.11,27102.43,14434.54718,27102.43,0.008265173030320483,0.008231203535191795,0.011743012097434263
2023-05-21,27102.42,27277.55,26666.03,26747.78,21347.87279,26747.78,-0.013085542514084558,-0.013171912518513606,0.012832777452336018
2023-05-22,26747.78,27099.89,26538.21,26849.27,26458.83828,26849.27,0.0037943335858154903,0.0037871532594394926,0.012296001065523886
2023-05-23,26849.28,27495.83,26798.11,27219.61,38700.83858,27219.61,0.013793298663241194,0.01369903691712277,0.013447073483832625
2023-05-24,27219.61,27219.61,26080.5,26329.01,54393.0657,26329.01,-0.03271905806144915,-0.03326629631528951,0.017107807199779106
2023-05-25,26329.0,26631.98,25871.89,26473.79,37435.44895,26473.79,0.005498877473934849,0.005483813844004058,0.01596013453039147
2023-05-26,26473.8,26932.16,26327.24,26705.92,35061.18713,26705.92,0.008768294981564617,0.008730076726596555,0.016417660992154044
2023-05-27,26705.93,26895.0,26551.0,26854.27,15095.6867,26854.27,0.005554948116372804,0.005539576292267746,0.016198408868463986
2023-05-28,26854.28,28261.32,26764.36,28065.0,43916.00855,28065.0,0.04508519501740316,0.04409840842612671,0.022700562646879217
2023-05-29,28065.01,28447.14,27524.6,27736.4,42385.41945,27736.4,-0.011708533760912077,-0.011777618425209708,0.023807312588701234
2023-05-30,27736.39,28038.59,27554.0,27694.4,32686.75371,27694.4,-0.0015142556351941394,-0.0015154032789555,0.023555566440050003
2023-05-31,27694.39,27835.51,26839.01,27210.35,46588.80573,27210.35,-0.017478262753480966,-0.017632811059524262,0.020200547325916127
2023-06-01,27210.36,27350.0,26605.05,26817.93,39217.8088,26817.93,-0.014421718206491185,-0.014526721963616974,0.02146360983943144
2023-06-02,26817.93,27300.0,26505.0,27242.59,36380.90269,27242.59,0.01583492834831035,0.015710863858149307,0.021992438224573835
2023-06-03,27242.59,27333.29,26914.93,27069.22,16595.34117,27069.22,-0.006363932357385971,-0.0063842684993772065,0.022226354414823908
2023-06-04,27069.22,27455.02,26951.0,27115.21,19258.41049,27115.21,0.001698977658018963,0.0016975360281114345,0.011418587512017893
2023-06-05,27115.2,27129.33,25388.0,25728.2,65805.60305,25728.2,-0.05115247125137512,-0.05250715845555731,0.02104317816828578
2023-06-06,25728.2,27355.33,25351.02,27230.08,68392.60438,27230.08,0.05837485716062529,0.05673457801927024,0.03367922427120851
2023-06-07,27230.07,27391.77,26125.01,26339.34,59619.44364,26339.34,-0.0327116189155523,-0.03325860556385626,0.03530429646132369
2023-06-08,26339.34,26810.0,26210.0,26498.61,31075.51083,26498.61,0.006046848554291717,0.00602863973269374,0.03515482104820933
2023-06-09,26498.62,26783.33,26269.91,26477.81,27934.7097,26477.81,-0.000784946833060296,-0.0007852550651334101,0.03436640309199906
2023-06-10,26477.8,26533.87,25358.0,25841.21,64944.60108,25841.21,-0.024042773930321393,-0.024336519277700846,0.03524549893071962
2023-06-11,25841.22,26206.88,25634.7,25925.55,30014.29595,25925.55,0.003263779056785765,0.003258464490493794,0.0353079784595455
2023-06-12,25925.54,26106.48,25602.11,25905.19,29900.50893,25905.19,-0.0007853256729365432,-0.0007856342026842933,0.02913091313186071
2023-06-13,25905.2,26433.21,25712.57,25934.25,41065.60853,25934.25,0.0011217829323004747,0.0011211542039807445,0.015111507917074874
2023-06-14,25934.24,26098.0,24820.56,25128.6,45077.31608,25128.6,-0.03106509731339835,-0.03155784923802867,0.014647406928092995
2023-06-15,25128.6,25759.01,24800.0,25598.49,48664.86063,25598.49,0.018699410233757652,0.018526725673652867,0.01705233252739292
2023-06-16,25598.49,26518.0,25175.56,26345.0,51596.91662,26345.0,0.029162266993092212,0.028745138290379006,0.02142362167730649
2023-06-17,26345.01,26839.99,26181.0,26516.99,27842.2195,26516.99,0.006528373505409135,0.006507155969033793,0.018782645044383782
2023-06-18,26516.99,26700.0,26255.85,26339.97,21538.31022,26339.97,-0.006675719981792838,-0.006698102267960423,0.019204989891578917
